review_id,review,date,sentiment_category,matched_positive_terms
0,"Además de que da un vibra de un bar de los 50’s, las hamburguesas fueron un descubrimiento. En un Madrid donde todos aman las smash, es bonito seguir teniendo un lugar con hamburguesas de verdad (y buenas).",2024-09-09,Positive,"['hamburguesa', 'lugar']"
1,"La hamburguesa de pollo frito estaba muy rica (no me acuerdo de su nombre en la carta) y las patatas que la acompañaban también estaban muy buenas. El sándwich club estaba un poco seco, pero estaba rico.

Pedimos las berenjenas fritas y estaban muy buenas. El servicio fue muy amable y el local estaba bien, aunque tenía música de fondo. No estaba especialmente alta, pero se escuchaba, lo que podría no gustar a todos. Tienen algún plato “curioso” como las albondigas que no tienen mucho de especial. Hay opción de terraza que se agradece. En general muy bien, no es la primera vez que vengo y volveré!",2024-08-01,Positive,"['hamburguesa', 'bien']"
2,"Estuve cenando en familia el martes y además de la excelente atención de Fernanda disfrutamos de unas hamburguesas deliciosas y el lugar nos encantó, gracias a todo el equipo, lo recomendaré sin dudas.",2024-09-16,Positive,"['hamburguesa', 'lugar']"
3,"Solo tomamos un vermút y una cerveza. El bar mola, cafetería sacada de otra época.  Del estilo Nebraska. Ambiente agradable. El personal atento, buen trato. Vimos pasar hamburguesas con muy buena pinta… volveremos para probarlas.",2024-05-01,Positive,"['buen', 'hamburguesa']"
5,"Nos ha encantado este lugar, tanto el
Café y la comida estaban muy ricos
La atención del personal ha sido excelente también",2024-05-01,Positive,"['lugar', 'comida']"
6,La comida de otro nivel y el servicio de parte de Fernanda excelente. Les recomiendo el mojito cha cha cha para refrescarse. La hamburguesa italiana con mozzarella y pesto de lo mejor que he probado en mi vida. Repetiré sin dudarlo :),2024-08-01,Positive,"['hamburguesa', 'comida']"
8,"Viví en este barrio en los 80 , he vuelto a este emblemático café y me he quedado maravillado por el ambiente , comida su estilo vintage de mi época , la atención de Jabiel insuperable! Genuino dominicano encantador y buen profesional! Enhorabuena",2024-05-01,Positive,['buen']
9,"Ambiente con aire retro, cálido y tranquilo para ir en grupo o en pareja. Los nachos están buenísimos, la presentación es bastante original; y la hamburguesa con el queso crocante te deja sin palabras. Se nota que la carne es de calidad y los precios muy asequibles. El servicio es muy atento.",2024-03-01,Positive,['hamburguesa']
10,"Era la primera vez que íbamos y nos encantó TODO.
Tanto el local, que tiene un encanto especial, como la comida, que estaba deliciosa, y el personal, súper atento en todo momento, pero sobre todo Adrián que fue quien nos atendió.
Volveremos para probar el resto de la carta.
Enhorabuena!",2023-11-01,Positive,['comida']
11,"Mi opinión es parcial y referida a mi experiencia con un menú diario en terraza de calle, por lo que no critico otras buenas opiniones sobre el local. En mi caso, mucha tardanza en el servicio, platos mini (con poquita comida), para  los 14€ que cuesta. Y cómoda normal sin gran elaboración. La macedonia de postre en un ""dedal"" (casi ni cabe la cucharilla de café). Como ejemplo de la escasez, al igual que los otros platos en mini-bol.",2024-05-01,Neutral,['comida']
