author,local_guide_info,rating,review,date,price,food,service,atmosphere,recommendations,text_backup
LO TIZ,Local Guide · 99 reseñas · 385 fotos,5 estrellas,Fantástico ambiente. Camareros rápidos y amables. Unas tapas espectaculares. Totalmente recomendable. El ambiente me ha encantado. Volveremos!!😍😍,Hace una semana,1-10 €,5,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa de Paella y Tortilla de Patata Chorizo Y Pan","LO TIZ
Local Guide · 99 reseñas · 385 fotos






Hace una semana
NUEVA
Fantástico ambiente. Camareros rápidos y amables. Unas tapas espectaculares. Totalmente recomendable. El ambiente me ha encantado. Volveremos!!😍😍
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli, Tapa de Paella y Tortilla de Patata Chorizo Y Pan

Me gusta

Compartir"
Blvck Kinder,Local Guide · 35 reseñas · 66 fotos,5 estrellas,"El Bar Sierra en Madrid es un verdadero tesoro para los amantes de la gastronomía. Este bar se destaca por sus tapas gigantes, que no solo impresionan por su tamaño, sino también por su sabor y calidad.
El servicio en el Bar Sierra es perfecto.",Hace 2 meses,1-10 €,5,5,5,Tapas Y Dobles de Cerveza,"Blvck Kinder
Local Guide · 35 reseñas · 66 fotos






Hace 2 meses
El Bar Sierra en Madrid es un verdadero tesoro para los amantes de la gastronomía. Este bar se destaca por sus tapas gigantes, que no solo impresionan por su tamaño, sino también por su sabor y calidad.
El servicio en el Bar Sierra es perfecto.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

1

Compartir"
Arkaitz fernandez sanabria,Local Guide · 198 reseñas · 714 fotos,5 estrellas,"Tapas absolutamente de locos. Por apenas 3.30 te ponen una tapa gigantesca y bastante buenas. Eso sí, hay poco sitio para sentarse dentro, pero pelillos a la mar. El servicio es rápido y merece mucho la pena.",Hace 5 meses,,5,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella","Arkaitz fernandez sanabria
Local Guide · 198 reseñas · 714 fotos






Hace 5 meses
Tapas absolutamente de locos. Por apenas 3.30 te ponen una tapa gigantesca y bastante buenas. Eso sí, hay poco sitio para sentarse dentro, pero pelillos a la mar. El servicio es rápido y merece mucho la pena.
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Tapa de Paella
2 más

2

Compartir"
ANGELA “LocuraTodoLoCura”,Local Guide · 84 reseñas · 312 fotos,5 estrellas,La leche!! Este sitio es el mejor con diferencia!! Bebidas frias! Cerves bien tiradas!! Pedazo de aperitivos!! Gente super simpatica!! Un veintiocho de diez!!!,Hace una semana,,5,5,5,Tapas Y Dobles de Cerveza,"ANGELA “LocuraTodoLoCura”
Local Guide · 84 reseñas · 312 fotos






Hace una semana
NUEVA
La leche!! Este sitio es el mejor con diferencia!! Bebidas frias! Cerves bien tiradas!! Pedazo de aperitivos!! Gente super simpatica!! Un veintiocho de diez!!!
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

Me gusta

Compartir"
Claudia M. Simal.,Local Guide · 308 reseñas · 1.610 fotos,5 estrellas,"Por el precio nos gustó mucho, los tamaños de las tapas son enormes y si te tomas más de una consumición te preguntan lo que te han puesto de tapa para no repetir. En la terraza se estaba muy bien pero si llegas un poco tarde, la cola era larga.

Lo que más nos gustó fue el arroz y las bravas.",Hace 6 meses,,5,3,3,,"Claudia M. Simal.
Local Guide · 308 reseñas · 1.610 fotos






Hace 6 meses
Por el precio nos gustó mucho, los tamaños de las tapas son enormes y si te tomas más de una consumición te preguntan lo que te han puesto de tapa para no repetir. En la terraza se estaba muy bien pero si llegas un poco tarde, la cola era larga.

Lo que más nos gustó fue el arroz y las bravas.
Comida: 5
Servicio: 3
Ambiente: 3

4

Compartir"
David,Local Guide · 278 reseñas · 477 fotos,5 estrellas,"En la zona de Chamberí en Madrid. La estación de metro más cercana:  Quevedo (L2).

El bar en si, cuenta con una pequeña zona de barra y alguna mesa alta en en interior. Así mismo cuenta con terraza (no atendida, se pide y se paga, en el interior).

La verdad, que me sorprendió para bien. Cada consumicion viene acompañada de un generosisimo aperitivo (en las fotos que adjunto incluso me falta alguno tipo un plato de jamón) a un precio módico. Una cerveza por ejemplo a 3.50 que teniendo en cuenta como viene acompañada... Pues como, de maravilla.

Los aperitivos además, son bastante variados. Tomamos tres rondas y comimos seis cosas diferentes.

La atención buena y rápida. Lo guardo en mi lista de favoritos sin duda.",Hace 2 meses,1-10 €,5,4,4,,"David
Local Guide · 278 reseñas · 477 fotos






Hace 2 meses
En la zona de Chamberí en Madrid. La estación de metro más cercana:  Quevedo (L2).

El bar en si, cuenta con una pequeña zona de barra y alguna mesa alta en en interior. Así mismo cuenta con terraza (no atendida, se pide y se paga, en el interior).

La verdad, que me sorprendió para bien. Cada consumicion viene acompañada de un generosisimo aperitivo (en las fotos que adjunto incluso me falta alguno tipo un plato de jamón) a un precio módico. Una cerveza por ejemplo a 3.50 que teniendo en cuenta como viene acompañada... Pues como, de maravilla.

Los aperitivos además, son bastante variados. Tomamos tres rondas y comimos seis cosas diferentes.

La atención buena y rápida. Lo guardo en mi lista de favoritos sin duda.
Precio por persona
1-10 €
Comida: 5
Servicio: 4
Ambiente: 4

Me gusta

Compartir"
César,Local Guide · 61 reseñas · 61 fotos,4 estrellas,"Os cuento según mi opinión:

Contras:
Sitio no muy grande
Tienes que tener mesa para que te sirvan
Autoservicio, no atienden en mesas. Pides tú y te lo llevas.
Cerveza: Ámbar
Normalmente esperarás cola para poder pedir.
Las patatas que ponen aunque están buenas pero las bañan en sal.
Servicio muy lento, van con la calma, además un trato correcto tirando a seco...

Pros:
Sin duda las tapas que ponen, ya que son muy generosas.
Te suelen preguntar si has comido de antes para no repetir tapa
Calidad precio aceptable: 3'30 € Cerveza / refresco

Es cierto que en Madrid existen más bares de este estilo y que te atienden en mesas y son más rápidos...pero por probarlo no está mal.",Hace 3 meses,1-10 €,4,3,4,,"César
Local Guide · 61 reseñas · 61 fotos






Hace 3 meses
Os cuento según mi opinión:

Contras:
Sitio no muy grande
Tienes que tener mesa para que te sirvan
Autoservicio, no atienden en mesas. Pides tú y te lo llevas.
Cerveza: Ámbar
Normalmente esperarás cola para poder pedir.
Las patatas que ponen aunque están buenas pero las bañan en sal.
Servicio muy lento, van con la calma, además un trato correcto tirando a seco...

Pros:
Sin duda las tapas que ponen, ya que son muy generosas.
Te suelen preguntar si has comido de antes para no repetir tapa
Calidad precio aceptable: 3'30 € Cerveza / refresco

Es cierto que en Madrid existen más bares de este estilo y que te atienden en mesas y son más rápidos...pero por probarlo no está mal.
Precio por persona
1-10 €
Comida: 4
Servicio: 3
Ambiente: 4

3

Compartir"
Dxvid Martos,Local Guide · 69 reseñas · 76 fotos,5 estrellas,"El camarero mu majo, el baño limpio y las tapas ENORMES!!! Volveré seguro.

Si le tuviera que poner una pega, es que no sé puede elegir la tapa, aunque entiendo que para vegetarianos y similares se podrá elegir.",Hace un mes,1-10 €,5,5,5,Patatas Bravas O Alioli y Tapa de Macarrones,"Dxvid Martos
Local Guide · 69 reseñas · 76 fotos






Hace un mes
El camarero mu majo, el baño limpio y las tapas ENORMES!!! Volveré seguro.

Si le tuviera que poner una pega, es que no sé puede elegir la tapa, aunque entiendo que para vegetarianos y similares se podrá elegir.
Precio por persona
1-10 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Patatas Bravas O Alioli y Tapa de Macarrones

Me gusta

Compartir"
jose maria jarillo,Local Guide · 159 reseñas · 515 fotos,5 estrellas,"Gran bar de tapas en la zona baja de chamberi,  pegado a arguelles. Por cada consumición te ponen una tapa gigante. Los camareros son simpáticos y rápidos, la cerveza es de barril de la marca ambar. No hay mucho sitio y se peta por las grandes tapas. Lo mejor de la zona relación calidad precio.",Hace 4 meses,10-20 €,5,5,5,"Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Patatas Bravas Sándwich Mixto Y Croquetas","jose maria jarillo
Local Guide · 159 reseñas · 515 fotos






Hace 4 meses
Gran bar de tapas en la zona baja de chamberi,  pegado a arguelles. Por cada consumición te ponen una tapa gigante. Los camareros son simpáticos y rápidos, la cerveza es de barril de la marca ambar. No hay mucho sitio y se peta por las grandes tapas. Lo mejor de la zona relación calidad precio.
Precio por persona
10-20 €
Comida: 5
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza, Patatas Bravas O Alioli y Patatas Bravas Sándwich Mixto Y Croquetas

3

Compartir"
David Cabeza Domínguez,Local Guide · 323 reseñas · 1.229 fotos,5 estrellas,"Hemos comido totalmente con dos consumiciones por persona, y todo muy bueno. De los mejores sitios de Madrid, son duda",Hace 3 meses,1-10 €,4,5,5,Tapas Y Dobles de Cerveza,"David Cabeza Domínguez
Local Guide · 323 reseñas · 1.229 fotos






Hace 3 meses
Hemos comido totalmente con dos consumiciones por persona, y todo muy bueno. De los mejores sitios de Madrid, son duda
Precio por persona
1-10 €
Comida: 4
Servicio: 5
Ambiente: 5
Platos recomendados
Tapas Y Dobles de Cerveza

Me gusta

Compartir"
