author,local_guide_info,rating,review,date_text,text_backup
Eduardo Ascariz,Local Guide · 366 reseñas · 3.711 fotos,4 estrellas,Excelente alternativa cultural y de ocio en Zaragoza. Un edificio de arquitectura singular con interesantes exposiciones itinerantes y actividades lúdicas y culturales. Buenos accesos en transporte público. Destacar la alternativa del restaurante y de las comidas temáticas alineadas con la temática de las exposiciones.,Hace 3 semanas,"Eduardo Ascariz
Local Guide · 366 reseñas · 3.711 fotos






Hace 3 semanas
NUEVA
Excelente alternativa cultural y de ocio en Zaragoza. Un edificio de arquitectura singular con interesantes exposiciones itinerantes y actividades lúdicas y culturales. Buenos accesos en transporte público. Destacar la alternativa del restaurante y de las comidas temáticas alineadas con la temática de las exposiciones.
10 más

Me gusta

Compartir"
Fernando C.,Local Guide · 524 reseñas · 2.775 fotos,5 estrellas,"Museo gestionado por la Fundación ‘’La Caixa’’, con 7000 metros cuadrados y seis plantas donde antiguamente estaba la antigua estación de ferrocarriles de El Portillo.
Diseñado por la arquitecta Carme Pinós, la construcción comenzó en diciembre de 2010 y finalizó en marzo de 2014, año en que se inauguró.
Dos estructuras geométricas elevadas de gran tamaño, simulan una forma arbórea, la planta baja hace la función de tronco y las plantas superiores simulan la copa.
Dispone de auditorio, dos salas de exposiciones, cafetería, mirador, etc.
Las exposiciones son de carácter temporal, pero de bastante duración. Actualmente son: Top Secret (Cine y espionaje) y Arte y naturaleza.
El precio de la entrada es de 6 € y gratuito para clientes.",Hace un mes,"Fernando C.
Local Guide · 524 reseñas · 2.775 fotos






Hace un mes
Museo gestionado por la Fundación ‘’La Caixa’’, con 7000 metros cuadrados y seis plantas donde antiguamente estaba la antigua estación de ferrocarriles de El Portillo.
Diseñado por la arquitecta Carme Pinós, la construcción comenzó en diciembre de 2010 y finalizó en marzo de 2014, año en que se inauguró.
Dos estructuras geométricas elevadas de gran tamaño, simulan una forma arbórea, la planta baja hace la función de tronco y las plantas superiores simulan la copa.
Dispone de auditorio, dos salas de exposiciones, cafetería, mirador, etc.
Las exposiciones son de carácter temporal, pero de bastante duración. Actualmente son: Top Secret (Cine y espionaje) y Arte y naturaleza.
El precio de la entrada es de 6 € y gratuito para clientes.
Se visitó en
Día festivo
Tiempo de espera
Sin espera
Reserva recomendada
No
34 más

Me gusta

Compartir"
katalin vasko,Local Guide · 162 reseñas · 215 fotos,4 estrellas,"Fui con mi hija menor a ver la exposición de momias y muy bien. Todo el centro está adaptado a silla de ruedas, hay baños adaptados, ascensores, no pagas si tienes discapacidad o eres cliente caixa. Lo único malo es que no hay aparcamiento de ningún tipo.",Hace 3 meses,"katalin vasko
Local Guide · 162 reseñas · 215 fotos






Hace 3 meses
Fui con mi hija menor a ver la exposición de momias y muy bien. Todo el centro está adaptado a silla de ruedas, hay baños adaptados, ascensores, no pagas si tienes discapacidad o eres cliente caixa. Lo único malo es que no hay aparcamiento de ningún tipo.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No
8 más

Me gusta

Compartir"
Daniela Fuentes,Local Guide · 113 reseñas · 281 fotos,5 estrellas,"El lugar realmente es increíble, la curaduría del museo es perfecta en todas las salas.",hace 4 días,"Daniela Fuentes
Local Guide · 113 reseñas · 281 fotos






hace 4 días
NUEVA
El lugar realmente es increíble, la curaduría del museo es perfecta en todas las salas.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No
0:29
4 más

Me gusta

Compartir"
Doncelador,Local Guide · 3.160 reseñas · 27.038 fotos,4 estrellas,"El edificio es obra de Carme Pinós, realizado en hormigón y acero, en el año 2009 fué inaugurado, pertenece a la Fundación la Caixa y en el podemos disfrutar de sus exposiciones principalmente temporales. La entrada para las distintas exposiciones es gratis para clientes",Hace 4 meses,"Doncelador
Local Guide · 3.160 reseñas · 27.038 fotos






Hace 4 meses
El edificio es obra de Carme Pinós, realizado en hormigón y acero, en el año 2009 fué inaugurado, pertenece a la Fundación la Caixa y en el podemos disfrutar de sus exposiciones principalmente temporales. La entrada para las distintas exposiciones es gratis para clientes
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No
22 más

4

Compartir"
José Luis Bello,Local Guide · 271 reseñas · 957 fotos,5 estrellas,"Edificio moderno muy bien acondicionado para la celebración de exposiciones. Climatización correcta que hace la estancia agradable. Dispone de taquillas de consigna para poder dejar abrigos u objetos accesorios con depósito de una moneda de un euro. Tienda bastante bien surtida y atendida. Todo el personal del Centro muy amable, atento y profesional.",Hace 8 meses,"José Luis Bello
Local Guide · 271 reseñas · 957 fotos






Hace 8 meses
Edificio moderno muy bien acondicionado para la celebración de exposiciones. Climatización correcta que hace la estancia agradable. Dispone de taquillas de consigna para poder dejar abrigos u objetos accesorios con depósito de una moneda de un euro. Tienda bastante bien surtida y atendida. Todo el personal del Centro muy amable, atento y profesional.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No
7 más

Me gusta

Compartir"
Carlos,Local Guide · 126 reseñas · 342 fotos,5 estrellas,"Muy buen museo. En concreto fuimos por un taller infantil y acabamos entrando en la exposición de momias de Egipto y una exposición sobre la historia de los tebeos o cómics.

Nos sorprendió la cantidad de gente que había.

Lo único malo es que está en un sitio de mal acceso, no está bien conectado con el transporte público y no tiene parking. Las calles de alrededor están masificadas y hay que ir a aparcar bastante lejos.

También hay muchos descuentos para diferentes colectivos.",Hace 4 meses,"Carlos
Local Guide · 126 reseñas · 342 fotos






Hace 4 meses
Muy buen museo. En concreto fuimos por un taller infantil y acabamos entrando en la exposición de momias de Egipto y una exposición sobre la historia de los tebeos o cómics.

Nos sorprendió la cantidad de gente que había.

Lo único malo es que está en un sitio de mal acceso, no está bien conectado con el transporte público y no tiene parking. Las calles de alrededor están masificadas y hay que ir a aparcar bastante lejos.

También hay muchos descuentos para diferentes colectivos.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No

Me gusta

Compartir"
Marisa Alique,Local Guide · 48 reseñas · 516 fotos,5 estrellas,"La Conferencia fue todo un lujo por la categoría de los ponentes y la exposición super recomendable, no todos los días se pueden ver en Zaragoza este tipo de exposiciones sobre 6 momias de Egipto.",Hace 6 meses,"Marisa Alique
Local Guide · 48 reseñas · 516 fotos






Hace 6 meses
La Conferencia fue todo un lujo por la categoría de los ponentes y la exposición super recomendable, no todos los días se pueden ver en Zaragoza este tipo de exposiciones sobre 6 momias de Egipto.
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
Sí
5 más

Me gusta

Compartir"
Jose Luis Ruiz Fuentes,Local Guide · 303 reseñas · 988 fotos,5 estrellas,He visitado la exposición Momias de Egipto y me ha parecido muy interesante lo expuesto bien documentado y amplias salas donde se luce en su esplendor lo que ofrece (he visitado El museo de el Cairo en dos ocasiones) recomendable la visita de Caixa Forum.,Hace 4 meses,"Jose Luis Ruiz Fuentes
Local Guide · 303 reseñas · 988 fotos






Hace 4 meses
He visitado la exposición Momias de Egipto y me ha parecido muy interesante lo expuesto bien documentado y amplias salas donde se luce en su esplendor lo que ofrece (he visitado El museo de el Cairo en dos ocasiones) recomendable la visita de Caixa Forum.
Se visitó en
Día festivo
Tiempo de espera
Hasta 10 min
Reserva recomendada
No lo sé
16 más

Me gusta

Compartir"
Sergio Martín Guerrero,Local Guide · 289 reseñas · 366 fotos,5 estrellas,"Fuimos a visitar la exposición de Momias del British Museum. Me pareció muy buena.
En cuanto al Caixa Forum, echo de menos una zona de aparcamiento para motos en los exteriores, ya que hay sitio de sobra para ello (ya en coche ni te digo).",Hace 3 meses,"Sergio Martín Guerrero
Local Guide · 289 reseñas · 366 fotos






Hace 3 meses
Fuimos a visitar la exposición de Momias del British Museum. Me pareció muy buena.
En cuanto al Caixa Forum, echo de menos una zona de aparcamiento para motos en los exteriores, ya que hay sitio de sobra para ello (ya en coche ni te digo).
Se visitó en
Día laborable
Tiempo de espera
Sin espera
Reserva recomendada
No
4 más

Me gusta

Compartir"
Javier Guillén,Local Guide · 149 reseñas · 104 fotos,5 estrellas,"Gran museo con unas exposiciones increíbles en unas salas muy amplias y cómodas. He podido disfrutar de alguna de las visitas guiadas y el personal ha sido muy profesional y amable. Tiene una cafetería en la última planta y hacen muchísimas actividades para niños, como talleres,....
La tienda tiene artículos de cada exposición y de todos los precios.",Hace 2 meses,"Javier Guillén
Local Guide · 149 reseñas · 104 fotos






Hace 2 meses
Gran museo con unas exposiciones increíbles en unas salas muy amplias y cómodas. He podido disfrutar de alguna de las visitas guiadas y el personal ha sido muy profesional y amable. Tiene una cafetería en la última planta y hacen muchísimas actividades para niños, como talleres,....
La tienda tiene artículos de cada exposición y de todos los precios.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
No
2 más

Me gusta

Compartir"
jose Meseguer,Local Guide · 127 reseñas · 644 fotos,5 estrellas,No se pueden dejar de ver la exposición actual de momias de Egipto. Muy bien explicado y organizado.,Hace 5 meses,"jose Meseguer
Local Guide · 127 reseñas · 644 fotos






Hace 5 meses
No se pueden dejar de ver la exposición actual de momias de Egipto. Muy bien explicado y organizado.
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
Sí
7 más

Me gusta

Compartir"
oscar simon,Local Guide · 123 reseñas · 987 fotos,5 estrellas,"Super museo para visitar con la familia, muy bien montadas las exposiciones",Hace 4 meses,"oscar simon
Local Guide · 123 reseñas · 987 fotos






Hace 4 meses
Super museo para visitar con la familia, muy bien montadas las exposiciones
Se visitó en
Fin de semana
Tiempo de espera
Sin espera
Reserva recomendada
Sí
10 más

Me gusta

Compartir"
